Period;Night-time distribution tariff (kWh);Day-time distribution tariff (kWh);Outdoor temperature (*C)
Saturday 1.1.2022 00:00;1,47;No metering data available for this period;-0,50
Saturday 1.1.2022 01:00;1,39;No metering data available for this period;-0,60
Saturday 1.1.2022 02:00;1,35;No metering data available for this period;-0,50
Saturday 1.1.2022 03:00;1,39;No metering data available for this period;-0,70
Saturday 1.1.2022 04:00;1,34;No metering data available for this period;-0,70
Saturday 1.1.2022 05:00;1,95;No metering data available for this period;-1,60
Saturday 1.1.2022 06:00;1,34;No metering data available for this period;-2,80
Saturday 1.1.2022 07:00;No metering data available for this period;1,35;-3,20
Saturday 1.1.2022 08:00;No metering data available for this period;2,02;-3,20
Saturday 1.1.2022 09:00;No metering data available for this period;1,84;-3,80
Saturday 1.1.2022 10:00;No metering data available for this period;1,32;-4,50
Saturday 1.1.2022 11:00;No metering data available for this period;2,00;-4,40
Saturday 1.1.2022 12:00;No metering data available for this period;1,72;-4,50
Saturday 1.1.2022 13:00;No metering data available for this period;2,54;-4,70
Saturday 1.1.2022 14:00;No metering data available for this period;2,11;-5,20
Saturday 1.1.2022 15:00;No metering data available for this period;1,81;-5,80
Saturday 1.1.2022 16:00;No metering data available for this period;1,72;-6,80
Saturday 1.1.2022 17:00;No metering data available for this period;1,98;-7,10
Saturday 1.1.2022 18:00;No metering data available for this period;1,45;-7,60
Saturday 1.1.2022 19:00;No metering data available for this period;1,56;-8,30
Saturday 1.1.2022 20:00;No metering data available for this period;1,59;-8,80
Saturday 1.1.2022 21:00;No metering data available for this period;1,79;-9,20
Saturday 1.1.2022 22:00;1,82;No metering data available for this period;-9,50
Saturday 1.1.2022 23:00;1,75;No metering data available for this period;-9,80
Sunday 2.1.2022 00:00;1,48;No metering data available for this period;-10,50
Sunday 2.1.2022 01:00;1,51;No metering data available for this period;-10,70
Sunday 2.1.2022 02:00;1,59;No metering data available for this period;-10,70
Sunday 2.1.2022 03:00;1,82;No metering data available for this period;-10,30
Sunday 2.1.2022 04:00;1,85;No metering data available for this period;-9,70
Sunday 2.1.2022 05:00;1,39;No metering data available for this period;-9,40
Sunday 2.1.2022 06:00;1,54;No metering data available for this period;-9,00
Sunday 2.1.2022 07:00;No metering data available for this period;1,51;-8,50
Sunday 2.1.2022 08:00;No metering data available for this period;2,01;-8,10
Sunday 2.1.2022 09:00;No metering data available for this period;1,84;-7,30
Sunday 2.1.2022 10:00;No metering data available for this period;1,57;-4,70
Sunday 2.1.2022 11:00;No metering data available for this period;2,54;-3,40
Sunday 2.1.2022 12:00;No metering data available for this period;1,90;-3,30
Sunday 2.1.2022 13:00;No metering data available for this period;1,53;-3,00
Sunday 2.1.2022 14:00;No metering data available for this period;1,52;-3,00
Sunday 2.1.2022 15:00;No metering data available for this period;1,78;-3,10
Sunday 2.1.2022 16:00;No metering data available for this period;2,14;-3,00
Sunday 2.1.2022 17:00;No metering data available for this period;1,99;-3,00
Sunday 2.1.2022 18:00;No metering data available for this period;2,27;-3,00
Sunday 2.1.2022 19:00;No metering data available for this period;2,76;-3,00
Sunday 2.1.2022 20:00;No metering data available for this period;5,87;-2,80
Sunday 2.1.2022 21:00;No metering data available for this period;2,14;-2,70
Sunday 2.1.2022 22:00;1,61;No metering data available for this period;-2,50
Sunday 2.1.2022 23:00;1,57;No metering data available for this period;-2,30
Monday 3.1.2022 00:00;2,40;No metering data available for this period;-2,20
Monday 3.1.2022 01:00;1,51;No metering data available for this period;-2,10
Monday 3.1.2022 02:00;1,43;No metering data available for this period;-1,90
Monday 3.1.2022 03:00;1,44;No metering data available for this period;-1,90
Monday 3.1.2022 04:00;1,44;No metering data available for this period;-1,70
Monday 3.1.2022 05:00;1,40;No metering data available for this period;-1,60
Monday 3.1.2022 06:00;1,43;No metering data available for this period;-1,50
Monday 3.1.2022 07:00;No metering data available for this period;1,54;-1,30
Monday 3.1.2022 08:00;No metering data available for this period;1,47;-1,20
Monday 3.1.2022 09:00;No metering data available for this period;2,48;-1,10
Monday 3.1.2022 10:00;No metering data available for this period;2,42;-0,90
Monday 3.1.2022 11:00;No metering data available for this period;2,70;-0,80
Monday 3.1.2022 12:00;No metering data available for this period;1,75;-0,70
Monday 3.1.2022 13:00;No metering data available for this period;2,00;-0,80
Monday 3.1.2022 14:00;No metering data available for this period;1,64;-0,90
Monday 3.1.2022 15:00;No metering data available for this period;5,78;-0,80
Monday 3.1.2022 16:00;No metering data available for this period;3,24;-0,80
Monday 3.1.2022 17:00;No metering data available for this period;2,37;-0,80
Monday 3.1.2022 18:00;No metering data available for this period;3,28;-0,70
Monday 3.1.2022 19:00;No metering data available for this period;2,10;-0,60
Monday 3.1.2022 20:00;No metering data available for this period;2,22;-0,60
Monday 3.1.2022 21:00;No metering data available for this period;3,41;-0,50
Monday 3.1.2022 22:00;2,17;No metering data available for this period;-0,50
Monday 3.1.2022 23:00;2,10;No metering data available for this period;-0,40
Tuesday 4.1.2022 00:00;2,06;No metering data available for this period;-0,40
Tuesday 4.1.2022 01:00;2,03;No metering data available for this period;-0,30
Tuesday 4.1.2022 02:00;1,24;No metering data available for this period;-0,40
Tuesday 4.1.2022 03:00;1,36;No metering data available for this period;-0,40
Tuesday 4.1.2022 04:00;1,35;No metering data available for this period;-0,30
Tuesday 4.1.2022 05:00;1,15;No metering data available for this period;-0,30
Tuesday 4.1.2022 06:00;1,36;No metering data available for this period;-0,10
Tuesday 4.1.2022 07:00;No metering data available for this period;1,64;0,10
Tuesday 4.1.2022 08:00;No metering data available for this period;2,35;0,40
Tuesday 4.1.2022 09:00;No metering data available for this period;1,76;0,70
Tuesday 4.1.2022 10:00;No metering data available for this period;2,14;1,00
Tuesday 4.1.2022 11:00;No metering data available for this period;2,09;1,30
Tuesday 4.1.2022 12:00;No metering data available for this period;2,63;1,70
Tuesday 4.1.2022 13:00;No metering data available for this period;1,59;2,10
Tuesday 4.1.2022 14:00;No metering data available for this period;3,06;2,20
Tuesday 4.1.2022 15:00;No metering data available for this period;2,05;1,70
Tuesday 4.1.2022 16:00;No metering data available for this period;3,18;0,70
Tuesday 4.1.2022 17:00;No metering data available for this period;2,47;0,00
Tuesday 4.1.2022 18:00;No metering data available for this period;2,15;-0,60
Tuesday 4.1.2022 19:00;No metering data available for this period;1,67;-1,00
Tuesday 4.1.2022 20:00;No metering data available for this period;1,60;-1,00
Tuesday 4.1.2022 21:00;No metering data available for this period;1,57;-0,70
Tuesday 4.1.2022 22:00;1,64;No metering data available for this period;-1,10
Tuesday 4.1.2022 23:00;1,45;No metering data available for this period;-1,80
Wednesday 5.1.2022 00:00;1,40;No metering data available for this period;-2,40
Wednesday 5.1.2022 01:00;1,40;No metering data available for this period;-2,30
Wednesday 5.1.2022 02:00;1,34;No metering data available for this period;-1,40
Wednesday 5.1.2022 03:00;1,31;No metering data available for this period;-0,80
Wednesday 5.1.2022 04:00;1,84;No metering data available for this period;-0,40
Wednesday 5.1.2022 05:00;1,36;No metering data available for this period;0,20
Wednesday 5.1.2022 06:00;1,31;No metering data available for this period;0,60
Wednesday 5.1.2022 07:00;No metering data available for this period;1,53;0,70
Wednesday 5.1.2022 08:00;No metering data available for this period;1,24;0,80
Wednesday 5.1.2022 09:00;No metering data available for this period;1,45;0,70
Wednesday 5.1.2022 10:00;No metering data available for this period;1,39;0,70
Wednesday 5.1.2022 11:00;No metering data available for this period;1,84;0,70
Wednesday 5.1.2022 12:00;No metering data available for this period;2,06;0,70
Wednesday 5.1.2022 13:00;No metering data available for this period;2,71;0,60
Wednesday 5.1.2022 14:00;No metering data available for this period;4,22;0,10
Wednesday 5.1.2022 15:00;No metering data available for this period;2,38;0,10
Wednesday 5.1.2022 16:00;No metering data available for this period;1,92;0,40
Wednesday 5.1.2022 17:00;No metering data available for this period;1,80;0,60
Wednesday 5.1.2022 18:00;No metering data available for this period;1,58;0,60
Wednesday 5.1.2022 19:00;No metering data available for this period;1,76;0,70
Wednesday 5.1.2022 20:00;No metering data available for this period;1,71;0,70
Wednesday 5.1.2022 21:00;No metering data available for this period;1,80;0,60
Wednesday 5.1.2022 22:00;1,61;No metering data available for this period;0,10
Wednesday 5.1.2022 23:00;1,59;No metering data available for this period;-0,40
Thursday 6.1.2022 00:00;1,50;No metering data available for this period;-0,50
Thursday 6.1.2022 01:00;1,26;No metering data available for this period;-0,60
Thursday 6.1.2022 02:00;1,76;No metering data available for this period;-0,80
Thursday 6.1.2022 03:00;1,34;No metering data available for this period;-1,00
Thursday 6.1.2022 04:00;1,34;No metering data available for this period;-0,80
Thursday 6.1.2022 05:00;1,71;No metering data available for this period;-1,20
Thursday 6.1.2022 06:00;1,32;No metering data available for this period;-3,40
Thursday 6.1.2022 07:00;No metering data available for this period;1,53;-4,90
Thursday 6.1.2022 08:00;No metering data available for this period;2,01;-5,70
Thursday 6.1.2022 09:00;No metering data available for this period;1,71;-6,20
Thursday 6.1.2022 10:00;No metering data available for this period;2,28;-6,40
Thursday 6.1.2022 11:00;No metering data available for this period;1,64;-6,30
Thursday 6.1.2022 12:00;No metering data available for this period;1,65;-6,50
Thursday 6.1.2022 13:00;No metering data available for this period;2,21;-6,40
Thursday 6.1.2022 14:00;No metering data available for this period;2,51;-6,90
Thursday 6.1.2022 15:00;No metering data available for this period;2,31;-7,70
Thursday 6.1.2022 16:00;No metering data available for this period;1,84;-8,10
Thursday 6.1.2022 17:00;No metering data available for this period;2,76;-8,10
Thursday 6.1.2022 18:00;No metering data available for this period;6,63;-8,00
Thursday 6.1.2022 19:00;No metering data available for this period;3,87;-8,10
Thursday 6.1.2022 20:00;No metering data available for this period;2,12;-8,10
Thursday 6.1.2022 21:00;No metering data available for this period;2,22;-8,20
Thursday 6.1.2022 22:00;2,18;No metering data available for this period;-8,10
Thursday 6.1.2022 23:00;2,04;No metering data available for this period;-7,10
Friday 7.1.2022 00:00;2,38;No metering data available for this period;-6,10
Friday 7.1.2022 01:00;1,50;No metering data available for this period;-6,20
Friday 7.1.2022 02:00;1,48;No metering data available for this period;-6,80
Friday 7.1.2022 03:00;1,54;No metering data available for this period;-7,20
Friday 7.1.2022 04:00;2,04;No metering data available for this period;-7,70
Friday 7.1.2022 05:00;1,81;No metering data available for this period;-7,80
Friday 7.1.2022 06:00;1,59;No metering data available for this period;-7,80
Friday 7.1.2022 07:00;No metering data available for this period;1,57;-7,90
Friday 7.1.2022 08:00;No metering data available for this period;2,31;-8,20
Friday 7.1.2022 09:00;No metering data available for this period;2,23;-8,50
Friday 7.1.2022 10:00;No metering data available for this period;1,99;-8,50
Friday 7.1.2022 11:00;No metering data available for this period;2,86;-8,00
Friday 7.1.2022 12:00;No metering data available for this period;2,33;-7,70
Friday 7.1.2022 13:00;No metering data available for this period;2,26;-7,60
