Period;Night-time distribution tariff (kWh);Day-time distribution tariff (kWh);Outdoor temperature (*C)
Friday 1.1.2021 00:00;1,08;No metering data available for this period;0,80
Friday 1.1.2021 01:00;1,12;No metering data available for this period;1,00
Friday 1.1.2021 02:00;1,07;No metering data available for this period;1,20
Friday 1.1.2021 03:00;1,07;No metering data available for this period;1,30
Friday 1.1.2021 04:00;1,35;No metering data available for this period;1,40
Friday 1.1.2021 05:00;1,06;No metering data available for this period;1,50
Friday 1.1.2021 06:00;1,04;No metering data available for this period;1,50
Friday 1.1.2021 07:00;No metering data available for this period;1,52;1,50
Friday 1.1.2021 08:00;No metering data available for this period;1,75;1,50
Friday 1.1.2021 09:00;No metering data available for this period;1,22;1,50
Friday 1.1.2021 10:00;No metering data available for this period;1,06;1,70
Friday 1.1.2021 11:00;No metering data available for this period;2,21;2,10
Friday 1.1.2021 12:00;No metering data available for this period;1,32;2,50
Friday 1.1.2021 13:00;No metering data available for this period;1,02;3,10
Friday 1.1.2021 14:00;No metering data available for this period;1,03;3,00
Friday 1.1.2021 15:00;No metering data available for this period;1,05;2,70
Friday 1.1.2021 16:00;No metering data available for this period;2,07;2,60
Friday 1.1.2021 17:00;No metering data available for this period;2,56;2,30
Friday 1.1.2021 18:00;No metering data available for this period;1,40;2,10
Friday 1.1.2021 19:00;No metering data available for this period;2,68;1,90
Friday 1.1.2021 20:00;No metering data available for this period;1,33;1,00
Friday 1.1.2021 21:00;No metering data available for this period;1,51;0,90
Friday 1.1.2021 22:00;1,34;No metering data available for this period;1,10
Friday 1.1.2021 23:00;1,37;No metering data available for this period;1,20
Saturday 2.1.2021 00:00;1,05;No metering data available for this period;0,90
Saturday 2.1.2021 01:00;1,06;No metering data available for this period;1,00
Saturday 2.1.2021 02:00;1,04;No metering data available for this period;0,90
Saturday 2.1.2021 03:00;1,02;No metering data available for this period;1,00
Saturday 2.1.2021 04:00;1,43;No metering data available for this period;1,00
Saturday 2.1.2021 05:00;1,05;No metering data available for this period;0,70
Saturday 2.1.2021 06:00;1,08;No metering data available for this period;0,70
Saturday 2.1.2021 07:00;No metering data available for this period;1,19;0,60
Saturday 2.1.2021 08:00;No metering data available for this period;1,95;0,50
Saturday 2.1.2021 09:00;No metering data available for this period;1,41;0,40
