Date,Night usage(10p.m-7a.m.)(KW/h),Daytime usage(8a.m- 9p.m.)(KW/h),Total consuption(KW/h),Outside Temperture(℃)
03-Jan-15,86.0 ,54.0 ,140.0 ,2.0 
04-Jan-15,26.0 ,20.0 ,46.0 ,-2.0 
05-Jan-15,3.0 ,37.0 ,40.0 ,-9.0 
06-Jan-15,36.0 ,18.0 ,54.0 ,-17.0 
07-Jan-15,1.0 ,15.0 ,16.0 ,-6.0 
08-Jan-15,58.0 ,16.0 ,74.0 ,-2.0 
09-Jan-15,27.0 ,13.0 ,40.0 ,2.0 
10-Jan-15,32.0 ,14.0 ,46.0 ,-2.0 
11-Jan-15,27.0 ,19.0 ,46.0 ,-2.0 
12-Jan-15,0.0 ,52.0 ,52.0 ,-14.0 
13-Jan-15,31.0 ,15.0 ,46.0 ,0.0 
14-Jan-15,27.0 ,14.0 ,41.0 ,1.0 
15-Jan-15,32.0 ,13.0 ,45.0 ,0.0 
16-Jan-15,23.0 ,14.0 ,37.0 ,0.0 
17-Jan-15,26.0 ,16.0 ,42.0 ,3.0 
18-Jan-15,24.0 ,15.0 ,39.0 ,2.0 
19-Jan-15,1.0 ,41.0 ,42.0 ,-1.0 
20-Jan-15,26.0 ,13.0 ,39.0 ,-3.0 
21-Jan-15,27.0 ,15.0 ,42.0 ,-6.0 
22-Jan-15,26.0 ,19.0 ,45.0 ,-7.0 
23-Jan-15,28.0 ,18.0 ,46.0 ,-7.0 
24-Jan-15,35.0 ,14.0 ,49.0 ,-5.0 
25-Jan-15,22.0 ,18.0 ,40.0 ,-2.0 
26-Jan-15,0.0 ,44.0 ,44.0 ,0.0 
27-Jan-15,26.0 ,12.0 ,38.0 ,0.0 
28-Jan-15,31.0 ,12.0 ,43.0 ,-1.0 
29-Jan-15,28.0 ,13.0 ,41.0 ,0.0 
30-Jan-15,23.0 ,12.0 ,35.0 ,0.0 
31-Jan-15,31.0 ,13.0 ,44.0 ,1.0 
01-Feb-15,22.0 ,16.0 ,38.0 ,0.0 
02-Feb-15,0.0 ,38.0 ,38.0 ,1.0 
03-Feb-15,31.0 ,11.0 ,42.0 ,0.0 
04-Feb-15,22.0 ,11.0 ,33.0 ,-3.0 
05-Feb-15,25.0 ,15.0 ,40.0 ,-2.0 
06-Feb-15,30.0 ,12.0 ,42.0 ,-1.0 
07-Feb-15,23.0 ,13.0 ,36.0 ,0.0 
08-Feb-15,20.0 ,13.0 ,33.0 ,-3.0 
09-Feb-15,0.0 ,49.0 ,49.0 ,-7.0 
10-Feb-15,24.0 ,12.0 ,36.0 ,1.0 
11-Feb-15,23.0 ,12.0 ,35.0 ,2.0 
12-Feb-15,23.0 ,12.0 ,35.0 ,2.0 
13-Feb-15,25.0 ,14.0 ,39.0 ,-1.0 
19-Feb-15,93.0 ,83.0 ,176.0 ,2.0 
20-Feb-15,25.0 ,11.0 ,36.0 ,3.0 
21-Feb-15,27.0 ,11.0 ,38.0 ,1.0 
22-Feb-15,21.0 ,11.0 ,32.0 ,1.0 
23-Feb-15,0.0 ,39.0 ,39.0 ,1.0 
24-Feb-15,20.0 ,11.0 ,31.0 ,2.0 
25-Feb-15,21.0 ,12.0 ,33.0 ,2.0 
